artist,artist_id
Fugazi,62sC6lUEWRjbFqXpMmOk4G
Future Girlfriend,6yWRHWCfKgDfuVktb28gZB
Galaxie 500,6guTJsgPymDUVfqDJyz5UG
Garbage,6S0GHTqz5sxK5f9HtLXn9q
Garbage and Screaming Females,
Garoad,1oMOdABcJgXgiplesecR1U
Gary Numan,5KQMtyPE8DCQNUzoNqlEsE
Gatsbys American Dream,5CzTm7YPNW47IWv7qi9Zu1
General Public,6BZbe6PDrJgxiXZ3cIXA8o
Genesis,3CkvROUTQ6nRi9yQOcsB50
Gin Blossoms,6kXp61QMZFPcKMcRPqoiVj
Girl Talk,6awzBEyEEwWHOjLox1DkLr
Girlpool,3BYXi96LqI8TwNljFKE0DZ
Girls,37hAfseJWi0G3Scife12Il
Girls Against Boys,33HLOae9rhJfw6Mh0e8g5r
Gob,0c4fpXIFPFNve1CxmGgXQf
God Is an Astronaut,079svMEXkbT5nGU2kfoqO2
Golden Earring,1iTlOqIrZy8DlvCPJY2sjS
Goldfinger,7sVQKNtdP2NylxMgbNOJMM
Good Charlotte,5aYyPjAsLj7UzANzdupwnS
Gorillaz,3AA28KZvwAUcZuOKwyblJQ
Green Day,7oPftvlwr6VrsViSDV7fJY
Guided By Voices,4oV5EVJ0XFWsJKoOvdRPvl
H20,5riH5wM1PXkrW061b2OmVJ
HOME,2exebQUDoIoT0dXA8BcN1P
Habib Koité and Bamada,
Hard-Fi,14Gi3Uph96lpNB3utkoVAD
Harlem,4PWqvc4ydEyoyBhXPOxDyy
Harry McClintock,5ehQsvqbiNAVZADhzHy5JO
Hartfield,7aABQHYVkQlSkDAcjzQvhy
Haruko Komiya,
Harvard,7mN3Rz6MsJEn9tvScb3xXe
Harvey Danger,7fu6ebyL3JGXJgo5zsOo4k
Head Automatica,2cyaobEho8uxhqLxwG7j6i
Heart,0n94vC3S9c3mb2HyNAOcjg
Hellogoodbye,6GH0NzpthMGxu1mcfAkOde
Hightide Hotel,2P0PbxCHnsQCbs8npiTIlx
Hinds,4piFCokRN13muTud5Y2lhz
Hole,5SHQUMAmEK5KmuSb0aDvsn
Hootie and the Blowfish,08ct2eZF5lUPdJpHwNKWof
Hot Hot Heat,33LSz2nhC8pCPTb3pd5add
Hutch And Kathy,3ePVrNy2EtmItfOpx7W9sK
I Fight Dragons,7DBXiFez54rbGjqw1tWi5w
ILLingsworth,5eQ5JCLOQgO2qDxcUse2AW
Iggy Pop and The Stooges,4BFMTELQyWJU1SwqcXMBm3
Immaculate Machine,5sQRlXEC6HekNKn3q9NfFc
Incubus,3YcBF2ttyueytpXtEzn1Za
Interpol,3WaJSfKnzc65VDgmj2zU8B
Into It. Over It.,1ecdmsD235x2zHCKfdL3cF
Invalids,1RdlYzlj42Mq7tO5y1o4Cz
Iwasaki Taku,4E0I7rDFoLnOLb76hcdJ0v
Izzy True,0E4xe4M7nuhfXOt2HBURFN
J. Cole,6l3HvQ5sa6mXTsMTB19rO5
Jackson Browne,5lkiCO9UQ8B23dZ1o0UV4m
Jakob Dylan,2b3drQxjyrPpJEef3mNGwc
James Carter & The Prisoners,
Jamiroquai,6J7biCazzYhU3gM9j1wfid
Jane's Addiction,02NfyD6AlLA12crYzw5YcR
Japandroids,2WcCoPxAWFNSCvsFPrpf30
Jason Mraz,4phGZZrJZRo4ElhRtViYdl
Jasper Byrne,17Wd82KjqIlUxj3LZZ1U0C
Jawbox,0Fj0cWPHOpexJCZRdSHioP
Jefferson Airplane,2qFr8w5sWUITRlzZ9kZotF
Jesus Jones,0roeI3yPusDWwWRzAqTopw
Jethro Tull,6w6z8m4WXX7Tub4Rb6Lu7R
Jimmy Eat World,3Ayl7mCk0nScecqOzvNp6s
